primary color punch with graphic poster contrast
saturated jewel tones with velvet shadow depth
soft pastel wash with dreamy powder haze
neon candy palette with nightlife glare bloom
muted earth tones with vintage warmth patina
monochrome minimalism with sharp highlight edges
high contrast noir tones with silvery accents
sun bleached tones with dusty faded softness
electric synthwave tones with cyan magenta glow
warm tungsten palette with honeyed skin bloom
cool fluorescent palette with icy shadow spill
champagne gold palette with luxe shimmer sheen
rust and umber palette with autumnal richness
sea glass palette with airy coastal calm
ink and ivory palette with editorial restraint
smoky charcoal palette with neon edge lights
rose mauve palette with soft glam polish
cobalt and chrome palette with slick shine
burgundy and black palette with decadent mood
cream and caramel palette with retro warmth
lavender dusk palette with violet gradients
tropical sorbet palette with playful brightness
industrial steel palette with cold clean lines
opal iridescence palette with prismatic shimmer
desaturated cinematic palette with gentle rolloff
hyper saturated magazine palette with bold pop
warm sunset palette with coral ember glow
midnight palette with deep blues and purples
retro print palette with slightly off register inks
glossy lacquer palette with wet highlights and shine
