grand Art Deco ballroom with geometric wall panels, polished marble floors, towering chrome columns
expansive terrace overlooking the ocean, glass balustrades, glowing floor inlays
curved staircase with brass railings, glossy steps, vintage-style riser lighting
private lounge with velvet sofas, mirrored ceiling panels, lacquered cocktail tables
long banquet hall lined with tall windows, crystal drapes, symmetrical architectural spacing
cigar room with dark wood paneling, tufted leather chairs, marble-topped side tables
open dance floor with inlaid patterns, overhead beam grid, suspended deco-style fixtures
gilded bar counter with glass shelves, stacked crystalware, polished metal accents
elevated VIP platform with frosted glass rail divider, soft underlighting, clean sightlines
arched doorway entrance framed by chrome molding, tiled threshold, carved wall sconces
ornate balcony level with metallic mesh railing, patterned carpet, directional spotlighting
sunken seating pit with plush cushions, reflective floor trim, stepped perimeter lighting
