petite frame with small breasts and soft tapered waist
slender build with small breasts and graceful narrow hips
tall elegant figure with medium breasts and balanced curves
curvy silhouette with full breasts and rounded natural hips
athletic college co-ed physique with firm medium breasts and strong legs
soft fuller figure with full breasts and broad relaxed hips
lean toned frame with small breasts and long defined legs
hourglass body with full breasts and shaped curved hips
statuesque tall form with medium breasts and fluid posture
compact gymnastics  build with small breasts and steady core
slim balanced figure with small breasts and subtle curves
full-figured silhouette with full breasts and wide hips
medium build with full perky breasts and even proportions
strong defined physique with round breasts and sculpted stance
petite athletic shape with small breasts and firm legs
tall slender frame with small breasts and tapering waist
rounded soft silhouette with full breasts and gentle fullness
fit balanced figure with round firm breasts and symmetrical hips
delicate narrow build with small breasts and light posture
bold curvy form with full breasts and pronounced hips
trim college cheerleader body with proportionate  breasts and defined torso
soft medium build with full breasts and natural curves
long lean form with small breasts and extended legs
petite curved figure with small breasts and shaped waist
moderately athletic build with medium firm round breasts and strong legs
broad-shouldered frame with large breasts and tapered waist
pear-shaped silhouette with small breasts and wider hips
slender athletic figure with small breasts and stable stance
full rounded build with full breasts and generous hips
compact sturdy frame with large breasts and solid legs
tall balanced figure with medium breasts and straight posture
soft hourglass shape with full breasts and smooth hips
fit lean physique with small breasts and elongated limbs
broad athletic bikini form with artifical breasts breasts and defined stance
curvy fuller build with full breasts and rounded waist
long athletic bikini body with medium breasts and long legs
petite straight build with small breasts and minimal curves
soft generous hips with full breasts and relaxed posture
trim medium figure with perky apple like breasts and toned legs
slender curved form with small breasts and long torso
strong compact build with perky apple like breasts and square shoulders
rounded fuller torso with full breasts and gentle posture
lean high-waisted figure with small breasts and narrow ribs
tall graceful athletic shape with round perfect breasts and smooth curves
soft compact figure with full breasts and short torso
slender pear-shaped body with small breasts and longer legs
broad elegant frame with medium breasts and confident posture
curvy college co-ed hybrid with full breasts and powerful legs
medium soft shape with medium breasts and natural hip line
