beaded flapper dress with layered fringe, metallic threadwork, knee-length hem
sleek satin gown with low back, bias cut, subtle shimmer highlights
gold sequin sheath dress with fitted silhouette, geometric deco patterns
pearlescent slip dress with thin straps, soft drape, mid-thigh length
velvet evening gown with structured shoulders, deep V neckline
art deco patterned cocktail dress with embroidered panels, defined waistline
feather-trimmed dress with soft plume accents along hem and neckline
silk gown with cascading ruffles, high-slit skirt, fluid motion
tulle overlay dress with subtle sparkle, layered texture
lace evening dress with sheer panels, fine floral detailing
two-tone deco dress with contrasting metallic accents, sculpted fit
beaded flapper-style dress with fringe movement, metallic embroidery
women's tuxedo, tight around the body, open cuffs, jazzy flair
art deco patterned flapper-style dress with fringe movement
backless gown, high-slit skirt, fluid motion
velvet evening gown with structured shoulders, defined waistline
structured cocktail dress with geometric deco patterns, fitted bodice
sleek satin evening gown with low back, clean drape, subtle sheen
silk slip dress with delicate straps, fluid fabric, soft highlights
velvet gown with sculpted shoulders, deep neckline, heavy texture
chrome-accented belt cinching the waist of a minimalist dress
opera dress with long fitted opera gloves, in glossy satin, wrist creases
diamond chandelier earrings with articulated segments, controlled sparkle
ankle-strap heels with metallic finish, sculpted heel shape
feathered shawl draped over shoulders, layered texture, soft edges
mesh fascinator with fine netting, rigid frame, clean silhouette
structured cocktail dress with geometric deco patterns, controlled sparkle
beaded cape with scalloped edges, intricate metallic embroidery, flowing drape
emerald green velvet dress with dropped waist, pearl-button details
champagne-colored chiffon gown with beaded shoulder straps, ethereal movement
black cocktail dress with silver Art Deco embroidery, form-fitting silhouette
ivory silk dress with cascading pearl strands, delicate hand-sewn beadwork
midnight blue satin gown with crystal belt, floor-length elegance
rose gold sequined dress with geometric sunburst pattern, shimmering texture
burgundy velvet evening coat with fur collar, structured shoulders
white beaded headband with ostrich feather plume, vintage glamour accent
jeweled cigarette holder with mother-of-pearl inlay, elegant hand accessory


