cracked motel key card, smudged magnetic stripe
cheap bic lighter, half melted plastic, warm thumbprint
overstuffed ashtray, lipstick stained filter tips
glass highball tumbler, ice clinking, wet ring marks
mini whiskey bottle, label peeling, cap missing
paper cup with motel logo, stale coffee slosh
crumpled receipt stack, loose change, random tokens
motel bible, dog eared pages, notes in margin
plastic ice bucket, torn liner, dripping condensation
remote control, greasy buttons, missing back cover
matchbook from dive bar, striker burned black
cheap perfume rollerball, sweet chemical cloud
smoked cigarette pack, bent corners, one left
vending machine condom wrapper, foil glinting
cigarette burns on bedsheet, tiny scorch halos
hair clip claw, glitter plastic, broken tooth
chunky hoop earrings, slightly tarnished gold tone
rhinestone choker, clasp twisted, stones missing
thin bangles stack, clinking metal, cheap shine
press on nails, one missing, glue residue
lace garter straps, snagged threads, crooked clips
fishnet tights, laddered run, toe hole
stiletto heels, scuffed tips, sticky soles
platform sandals, cracked vinyl straps, dust stuck
faux fur coat, shedding fibers, cigarette smell
denim jacket, pins and patches, frayed cuffs
polaroid photo, curled edges, flash glare
burned CD-R in sleeve, handwritten tracklist
flip phone, cracked screen, low battery warning
cheap sunglasses, bent arm, smudged lenses
gold chain necklace, kinked links, cold weight
ring set, mismatched sizes, greened metal
motel room service tray, cold fries, ketchup smear
disposable camera, flash ready, plastic click
