Heavy lidded gaze with lazy confident focus
Wide eyed sparkle with playful mischief energy
Bedroom eyes with slow blink attitude
Sharp side eye glance suspicious and amused
Direct eye contact intense and unbothered
Upward glance through lashes flirty and coy
Soft dreamy gaze distant disco daydream
Glassy eyes reflecting neon signage glow
Catlike stare with predatory calm control
Smiling eyes with subtle cheek lift
Piercing stare with eyeliner defined intensity
Dazed gaze like late night dance floor
Curious gaze brows raised slightly surprised
Tired eyes with beautiful lived in realism
Icy stare cool and emotionally unreadable
Warm inviting gaze with gentle sincerity
Focus locked eyes like camera challenged her
Eyes half closed smirk implied confidence
Sparkling eyes with catchlights like studio bulbs
Shadowed eyes dramatic contrast moody portrait
