prompt_piece
"burgundy velvet skirt with black lace trim, dark blouse with burgundy trim and details"
"corseted bodice with romantic ruffles, short mini skirt with form fitting black leggins"
"crimson corset with black ribbon lacing, black lace gloves, black tulle skirt"
"dark Victorian-inspired coat with ornate buttons, pleated velvet pants"
"dark romantic gown with tiered skirts, see through blouse with visible undergarments"
"fitted black jacket with military-style details, black military-style tank top"
"flowing black chiffon dress with bell sleeves, low cut in front, exposed cleavage"
"flowing black velvet dress with lace details, loose black blouse with exposed ceavage"
"layered black tulle skirt with chains, black lace bodysuit"
"long black cape with hood and silver clasps, lace corset, black tulle skirt"
"sheer black blouse with dramatic sleeves, tight leggings"
"skin tight black leather pants with silver buckles, tight leather corset barely covering bodice"
