grand Art Deco ballroom with geometric wall panels, polished marble floors, towering chrome columns
expansive terrace overlooking the ocean, glass balustrades, glowing floor inlays
curved staircase with brass railings, glossy steps, vintage-style riser lighting
private lounge with velvet sofas, mirrored ceiling panels, lacquered cocktail tables
long banquet hall lined with tall windows, crystal drapes, symmetrical architectural spacing
cigar room with dark wood paneling, tufted leather chairs, marble-topped side tables
open dance floor with inlaid patterns, overhead beam grid, suspended deco-style fixtures
gilded bar counter with glass shelves, stacked crystalware, polished metal accents
elevated VIP platform with frosted glass rail divider, soft underlighting, clean sightlines
arched doorway entrance framed by chrome molding, tiled threshold, carved wall sconces
ornate balcony level with metallic mesh railing, patterned carpet, directional spotlighting
sunken seating pit with plush cushions, reflective floor trim, stepped perimeter lighting
luxurious private box with velvet drapes, mirrored back wall, ambient LED strips
artistic lounge area with sculpted furniture, textured wall coverings, integrated floor lighting
spacious foyer with geometric tiled flooring, high-gloss wall finishes, large pendant lighting fixture
modern outdoor patio with sleek furniture, glass windbreaks, embedded ground lights
elegant dining area with polished wood tables, crystal chandeliers, upholstered chairs
refined library space with built-in bookshelves, leather armchairs, brass reading lamps
cozy fireplace nook with tiled surround, plush seating, soft overhead lighting
stylish rooftop garden with manicured hedges, stone pathways, ambient string lights
brightly lit hallway with glossy surfaces, reflective ceiling panels, recessed lighting
serene courtyard with water features, tiled walkways, soft ground lighting
intimate jazz club setting with low lighting, velvet curtains, polished wood bar
    
