tight headshot centered face fills most of frame
close up portrait forehead to chin sharp focus
extreme close up eyes and lashes hyper detailed
three quarter face close up subtle cheek highlight
side profile close up jawline and lips emphasized
chin to brow crop intimate candid framing
torso up close shot shoulders and collarbones visible
upper torso portrait hands near neckline in frame
bust shot chest to head classic portrait crop
tight bust shot minimal background maximum subject presence
head and shoulders close up soft depth of field
macro lip close up gloss texture and highlights
nose and mouth close up playful smirk emphasized
eye level close up direct gaze into camera
high angle close up looking up through lashes
low angle close up chin forward confident posture
over shoulder close up face turned back toward camera
tilted close up dutch angle edgy intimate framing
zoomed in close up slight grain 35mm feel
tight crop face and hairline cinematic close framing
