neon magenta cyan electric blue high contrast
pastel peach mint lavender soft airbrushed haze
primary red blue yellow clean varsity pop
teal and hot pink classic Miami vice glow
black white and neon accents nightclub flyer punch
cream beige and burgundy preppy campus warmth
forest green navy and tan collegiate classic tones
denim blue heather gray and off white casual
cherry red lipstick tones with warm neutrals
smoky charcoal silver and midnight blue moody
sunset orange fuchsia and violet roller rink vibes
aqua seafoam and coral beach boardwalk palette
mustard yellow rust and brown autumn dorm cozy
ice blue pale pink and pearl soft focus
red plaid tones with cream and black trim
cobalt blue neon green and black arcade energy
rose mauve taupe and champagne soft glam
gold bronze and espresso rich vintage warmth
lavender periwinkle and baby blue dreamy pastel wash
graphite gray neon purple and electric teal cyberpop
