Big teased bangs soft brown smoky eyeliner
Crimped hair half up frosted pink lipstick
Feathered layers with mousse volume glossy lips
High ponytail with scrunchie peach blush glow
Side swept bangs thin brows subtle shimmer shadow
Permed curls with headband winged liner flick
Loose blowout bronzed cheeks berry stain lipstick
Sleek straight hair matte red lip sharp liner
Messy bun smudged kohl late night campus vibe
Braided crown detail rosy cheeks nude lip
Short shag cut smoky shadow softly contoured cheeks
Big curls blue toned eyeshadow glossy peach lip
High volume blowout coral blush mascara heavy lashes
Half up claw clip champagne shimmer lids
Side ponytail poppy lipstick minimal eye makeup
Curled ends penciled liner freckles left natural
Teased bob dark liner waterline satin lip
Headband with bangs pink blush clear gloss
Loose waves subtle highlight warm brown lipstick
Wet look gel roots smoky eyes muted plum lips
