White ceremonial kimono stained with shadowy smudges
Black shinobi wrap under torn silk haori
Crimson brocade kimono with hidden armor plates
Courtesan robe with long sleeves like drifting curtains
Princess furisode with gold thread and cold aura
Modern yakuza jacket over traditional inner kimono
Ninja bodysuit with silk sash trailing like smoke
Ivory kimono layered over stealth black undergarments
Lacquered obi belt tied tight like restraint
Velvet kimono jacket with sharp tailored shoulders
Ghostly robe with oversized sleeves swallowing hands
Black haori coat with red lining flash
Antique kimono with faded floral funeral tone
Silk gown with rigid collar and quiet menace
Geisha kimono with concealed blade sleeve pocket
Shimmering brocade with wet sheen under neon
Minimalist ninja attire with hooded silk scarf
Court dress with patterned lining and ominous folds
Street luxe kimono jacket with glossy trim
Layered kimono and trench coat hybrid silhouette
