Gold hoop earrings and a thin chain necklace
Pearl studs with a tiny heart pendant
Chunky resin bangles stacked on one wrist
Silver charm bracelet with worn enamel charms
Layered necklaces cross pendant over camisole
Rhinestone clip on earrings thrift store sparkle pop
Black leather cuff bracelet with metal snaps
Thin gold anklet peeking above rolled socks
Tiny safety pin earring punk dorm room energy
Rose gold watch and simple signet ring
Plastic bead necklace candy colors nostalgic pop
Dangly star earrings late night dance floor glint
Small nose stud subtle rebellious edge
Multiple thin rings mixed metals worn in shine
Heart locket necklace with scratched vintage finish
Studded choker necklace bold but classy
Hoop earrings plus matching hoop bracelet set
Long pendant necklace tucked under oversized sweater
Oversized costume brooch pinned to blazer lapel
Simple gold studs and a pearl bracelet
