Neon soaked Ocean Drive sidewalk palm shadows flickering
Art deco hotel lobby glossy marble and neon signage
Poolside cabana with pastel towels and humid glow
Nightclub entrance velvet rope chrome and bass haze
Rooftop parking garage city lights and warm wind
Beach boardwalk at night neon kiosks and spray
Motel balcony corridor sodium lights and cigarette smoke
Late night convenience store fluorescent buzz and candy colors
Strip mall arcade carpet patterns and synthpop glow
Graffiti alleyway wet pavement reflections and streetlights
Boat dock at dusk pastel sky and neon reflections
High rise condo window cityscape and humid shimmer
Miami diner booth chrome trim and jukebox lights
Car interior dashboard neon and cassette deck glare
Skate rink floor laser dots and mirrored walls
Sunset beach bonfire smoke sparks and bass thump
Backstage dressing room makeup bulbs and glitter mess
Hotel pool at midnight ripples and neon halo
Downtown street corner cruising cars and tire shine
Beachside parking lot boom box and neon heat
