low horizon line with vast sky dominance
high horizon with land bands compressed
triptych bands of color stacked horizontal
diagonal sweep from lower left to upper right
central vertical seam dividing two climates
offset focal smear near golden-ratio point
v-shaped valley pulling the gaze inward
broken horizon with jagged geometric steps
curved shoreline arc framing negative space
zigzag path implied with tonal shifts
nested rectangles suggesting fields
radial burst behind distant ridge
tilted strata layers like sediment maps
meandering river line as gestural stroke
minimal plane with single accent rectangle
checker fields dissolving into haze
spiral drift of clouds across banded sky
portal window cutout revealing second palette
overlapping translucent bands for depth
cropped panorama with extreme aspect ratio
