prompt_piece
blood red lipstick with dark makeup
chain mail hair net with metal decoration
electric blue mohawk with spiked hair
glitter face paint with sparkles
heavy black eyeliner and smoky dark eye makeup
hot pink liberty spikes with towering hair
leather hair ties and punk styling
messy dreadlocks with wild texture
multiple facial piercings and safety pins
neon body paint with electric colors
neon green eyeshadow with bold colors
rainbow colored undercut with shaved sides
shaved head with geometric patterns
studded hair clips with metal hardware
tattoo-style makeup with permanent marker look
