Long black hair hanging like a curtain veil
Wet hair strands clinging to cheeks and neck
Traditional shimada updo slightly undone and eerie
Loose raven waves with deep center part
Hair covering one eye voyeur dread vibe
Messy top knot with drifting loose wisps
Pinned hair with kanzashi like tiny daggers
Straight hair glossy and unnaturally smooth
Tangled hair with damp ends and frizz
Braided crown slipping loose like unraveling fate
Low bun with severe tension and shine
Side swept fringe hiding expression secrets
Hair drifting in invisible wind slow motion
Half up style with face framing strands
Short bob cut blunt ends sharp menace
Loose curls softened by foggy diffusion
Hair wrapped in silk scarf shadow hood
Teased crown with lacquered shine and pins
Strands floating as if underwater suspended
Hair slicked back with cold studio gloss
