polished marble flooring with reflective surface, subtle veining patterns
mirrored wall panels with clean reflections, beveled edges
velvet upholstery with dense texture, directional fiber sheen
chrome metal columns with high-gloss finish, sharp specular highlights
frosted glass rail panels with soft diffusion, smooth gradients
lacquered wood surfaces with deep shine, visible grain beneath coating
sequined fabric catching point-light reflections, small specular bursts
brushed brass fixtures with warm metallic tone, fine horizontal texture
cut crystal drinkware with refracted light patterns, sharp facets
feather trim with layered softness, varied strand thickness
mesh fabric with clear perforation pattern, consistent grid alignment
glossy ceramic tiles with precise grout lines, even surface sheen
embossed leather panels with rich texture, directional light play
beveled glass tabletops with sharp edge highlights, clear transparency
high-gloss acrylic surfaces with deep reflections, uniform color
textured wallpaper with raised patterns, soft shadowing effects
ribbed fabric upholstery with linear texture, directional sheen
lacquered piano surface with deep gloss, 
polished granite countertops with reflective surface
