Shoulders angled hips squared hands on waist
One hand in hair other hand on collar
Arms crossed tight posture confident stance
Elbow resting on knee leaning toward camera
Head tilted shoulder raised playful asymmetry pose
Leaning against wall one knee bent relaxed
Both hands framing face fingers splayed dramatic
Hand on cheek chin forward camera focused
Over shoulder turn torso twist looking back
Sitting on edge shoulders forward intimate posture
Leaning on countertop elbows down chin lifted
Hand gripping jacket lapel pulling it closer
Two hands on sunglasses adjusting frames mid pose
Fingers brushing lips subtle teasing gesture
Hands clasped behind head elbows wide power pose
One arm raised wrist loose dance floor energy
Crouched pose elbows on thighs eyes locked
Walking toward camera mid step body sway
Seated cross legged upper body turned to camera
Reaching toward camera hand foreshortened bold gesture
