Dark smoky eyes with neon inner corner pop
Electric blue eyeshadow with sharp winged liner
Hot pink blush draped high across cheekbones
Glossy nude lip with overlined cupid bow
Cherry red lip with heavy mascara lashes
Glitter eyelids with smudged kohl waterline
Bronzed skin sheen with highlighter on collarbones
Frosted lipstick with pale shimmer eyeshadow
Cat eye liner with glossy skin and freckles
Bold brows with peach blush and lip gloss
Fuchsia lipstick with softened brown smoky shadow
Teal eyeliner with mascara heavy doll lashes
Metallic gold shimmer lids with bronzed crease
Gloss bomb lips with subtle glitter flecks
Sun kissed bronzer with glossy highlight streak
Pink lip gloss with penciled liner definition
Smudged eyeliner with inner rim kohl intensity
Icy pastel eyeshadow with frosted cheek highlight
Sharp contour with dewy skin and gloss
Red lip stain with minimal makeup clean skin
