half lidded stare, bored and dangerous
crooked smirk, like you know a secret
deadpan gaze, zero apologies
bitten lip, daring eye contact
soft pout, eyes slightly glassy
wide eyed innocence, totally performative
side eye glance, judging the whole room
lazy grin, midnight mischief energy
tight jaw, simmering irritation
open mouth laugh, a little too loud
blank face, dissociated glam
raised eyebrow, challenge accepted
slow blink, unimpressed and unbothered
nervous smile, trying to play it cool
sleepy squint, hungover confidence
teary eyes, mascara threatening to run
gritted teeth smile, sweet but venomous
tongue on teeth, playful troublemaker
small frown, thinking about leaving
head tilt, curious and predatory
shock face, caught in the act
sad smile, heartbreak with swagger
