almond-shaped brown eyes
large hazel eyes with heavy lashes
narrow green eyes, mysterious glare
bright blue eyes, high contrast
soft gray eyes, dreamy look
dark eyes with subtle shimmeralmond-shaped brown eyes
large hazel eyes with heavy lashes
narrow green eyes, mysterious glare
bright blue eyes, high contrast
soft gray eyes, dreamy look
dark eyes with subtle shimmer
almond-shaped brown eyes
large hazel eyes with heavy lashes
narrow green eyes, mysterious glare
bright blue eyes, high contrast
soft gray eyes, dreamy look
dark eyes with subtle shimmer
