flickering neon sign spill, harsh magenta shadows, grainy air
old TV screen glow, blue static highlights, face half lit
neon beer light streaks, deep contrast, oily reflections
bedside lamp tungsten pool, smoky haze, low key shadows
bathroom fluorescents blasting, overexposed edges, harsh spill
vacancy sign bounce light, green tint, shadowy corners
TV snow lighting, underlit cheekbones, uneasy liminal vibe
neon tube rim light, glossy lips, chrome highlights
window blinds light stripes, high contrast bands across body
streetlight sodium wash, dirty yellow cast, gritty texture
flash photography pop, blown highlights, red eye risk
slow shutter smear, neon trails, tipsy motion blur
grainy 35mm look, soft focus, warm color shift
cheap disposable camera, hard flash, flat shadows
CCTV angle, cold overhead light, clinical grim mood
lampshade fringe glow, amber vignette, dreamy haze
backlit curtain glow, silhouette edges, moody separation
mirror reflection shot, mixed lighting, double image feel
TV reflected in mirror, ghosted glow, surreal ambience
neon + TV combo lighting, magenta-blue clash, cyber sleaze
close low angle lens, wide distortion, claustrophobic room
high corner camera, wide shot, cramped motel geometry
