Hidden tanto blade tucked in sleeve seam
Ornate katana with lacquered scabbard
Folding fan concealing steel ribs
Hairpin stiletto weapon disguised as kanzashi
Silk sash hiding a thin chain whip
Poison needle set inside jeweled case
Short wakizashi blade with minimalist guard
Throwing stars concealed in obi pouch
Bamboo flute hiding a slender blade
Ceremonial dagger with jade handle
Compact pistol with pearl grip accents
Rope dart coiled like harmless cord
Metal tessen fan held like royalty
Kunai knife clipped under inner robe
Brass knuckle ring with engraved crest
Needle thin blade in lipstick tube
Smoke bomb sphere held in palm
Wire garrote hidden in silk wrap
Small crossbow pistol elegant and lethal
Blade hidden inside ornate parasol handle
