Creamy bokeh circles behind subject soft and dreamy
Neon bokeh dots pink and teal city glow
Disco ball bokeh sparkles scattered like stardust
Streetlight bokeh orbs warm sodium vapor haze
Soft filmic blur with gentle highlight halation
Heavy background blur isolating face in focus
Subtle bokeh with faint poster shapes behind
Arcade bokeh glow with colorful pixel lights
Shallow depth bokeh with pastel resort ambience
Glitter bokeh shimmer like nightclub confetti
Window light bokeh soft rectangular reflections behind
Lens bloom bokeh with glowing edges vintage glass
Chromatic bokeh fringes retro lens aberration
Circular bokeh clusters like 35mm night portraits
Dreamy haze bokeh with milky diffusion fog
Rainy bokeh droplets catching street neon shine
Sun flare bokeh speckles golden hour warmth
Soft studio bokeh seamless backdrop gentle fade
Mirror bokeh reflections fragmented and abstract
Polaroid bokeh blur with muted color wash
