lacquered shine with slick reflective surfaces
velvet texture absorbing light deep and rich
chrome highlights with mirror like reflections
satin sheen with smooth specular rolloff
vinyl gloss with sharp wet light streaks
silk drape with soft luminous highlights
leather grain with matte shine and depth
denim texture with lived in fiber detail
sequins sparkle with scattered pinlight glitter
brocade weave with ornate embossed detail
sheer chiffon layers with airy transparency
cashmere softness with gentle light falloff
metallic fabric with prismatic shimmer shifts
wool suiting texture with crisp tailored structure
latex finish with high gloss editorial bite
mesh fabric with visible grid transparency
pleated fabric with rhythmic shadow bands
fur trim texture with soft halo edges
glass surface reflections with layered depth
paper backdrop texture with studio crease realism
