Black shinobi bodysuit under flowing silk kimono
Crimson kimono with hidden armor panels beneath
White courtesan robe with obsidian belt wraps
Wealthy princess furisode with gold thread embroidery
High collar gangster suit with kimono inspired cut
Modern yakuza jacket over elegant inner kimono
Ninja wrap top with pleated hakama trousers
Geisha kimono with concealed blade sleeve pocket
Velvet brocade dress with obi styled waist
Ceremonial kimono layered over stealth black gear
Onyx leather corset with kimono sleeves drape
Satin trench coat with traditional obi sash
Midnight blue kimono with silver dragon motif
Ivory silk gown with lacquered shoulder guards
Street luxe kimono jacket with tailored trousers
Courtesan lace kimono with sheer outer haori
Princess cloak over jeweled kimono and gloves
Black haori coat with crimson lining flash
Gold brocade kimono with pearl trimmed collar
Minimalist ninja attire with silk scarf accents
