prompt_piece
anarchist button collection on denim vest
barbed wire bracelet with metal thorns
bike chain necklace with oil stains
broken bottle fragments as decoration
broken mirror shards as jewelry
chain mail bikini with metal links
champagne flute prop with crystal clarity
circuit board jewelry with electronic components
duct tape accessories in silver strips
fingerless leather gloves with metal studs
gold ankle bracelet with delicate chiming
guitar pick necklace with leather cord
handcuff jewelry prop with chrome shine
leather harness straps with metal rings
mohawk hair spikes with gel sculpture
motorcycle chain belt with skull buckle
motorcycle key chain with ignition access
neon cable tie bracelets in electric colors
pearl body chain with lustrous draping
piercing jewelry collection with multiple metals
razor blade pendant on chain
rebel flag bandana with political statement
safety pin earrings with bent metal
silk ribbon ties with sensual texture
skull ring collection with bone motifs
spiked leather collar with chrome studs and chains
spray paint caps as jewelry
studded collar choker with submission implication
studded wristbands with metal protection
tattoo needle jewelry with ink stain
torn fishnet sleeves with holes
vintage concert tickets as jewelry
