short bob haircut with precise blunt ends, smooth styling, side part
soft finger waves framing the face, defined ridges, glossy finish
long loose curls resting over one shoulder, controlled volume
sleek low chignon at the nape of the neck, clean parting, tight coil
high ponytail with slight wave, smooth crown, visible hair tie detail
bold red lipstick with sharp lip line, satin finish
dark berry lip color, subtle sheen, crisp edges
thin black eyeliner with small wing, even thickness
smoky eyeshadow in neutral tones, soft gradient blend
metallic gold eyeshadow accent on upper lid, defined highlight
subtle blush on cheekbones, smooth gradient, natural skin texture
light highlighter on nose bridge and cheekbones, controlled specular shine
natural eyebrows with slight arch, individual hair detail
matte foundation with even coverage, natural skin texture
neutral nail polish with glossy finish, clean application
pastel pink nail polish with subtle shimmer, smooth surface
neutral-toned eyeshadow with soft blending, matte finish
rosy pink lipstick with slight gloss, well-defined edges
Marcel waves styled close to the head, geometric pattern, high shine
pin curls arranged in uniform rows, tight coils, structured placement
deep side part with finger-combed waves, smooth transition
platinum blonde bob with razor-sharp edges, mirror-like finish
brunette hair with subtle finger waves, natural texture, loose styling
crimson red lipstick with cupid's bow emphasis, dramatic definition
coral pink lip color with cream texture, vintage charm
kohl-rimmed eyes with heavy black liner, bold theatrical look
champagne eyeshadow with pearl finish, luminous upper lid
bronze eyeshadow with metallic sheen, warm earth tones
pencil-thin eyebrows with dramatic arch, precisely plucked shape
powder-matte complexion with porcelain finish, flawless coverage
ruby red nail lacquer with mirror shine, perfect application
deep burgundy nail polish with subtle sparkle, rich color depth
silver eyeshadow with frost finish, cool metallic gleam
emerald green eyeliner along lower lash line, jewel-toned accent
winged eyeliner extending beyond outer corner, sharp precision
false eyelashes with individual definition, dramatic length
beauty mark drawn near the corner of mouth, classic vintage detail
glossy hair pomade creating wet-look waves, slicked-back style
victory rolls positioned above the ears, symmetrical placement
low braided bun with ribbon detail, intricate weaving pattern
