medium shot framing the subject from waist up, clear focus, centered composition
three-quarter shot capturing torso and legs, balanced proportions
full-body shot with clean vertical alignment, visible footwear
close-up portrait focusing on face and shoulders, shallow depth of field
over-the-shoulder angle showing subject facing into the scene
low-angle shot emphasizing height and presence, strong vertical lines
high-angle shot reducing scale slightly, architectural context visible
wide shot including background guests and environment, deep staging
slight Dutch tilt adding dynamic diagonal lines, controlled tension
soft panning motion blur at the edges, subject sharp in center
tight crop on facial expression, compressed background, smooth bokeh
telephoto compression effect flattening distance between subject and décor
