Piercing gaze calm and unreadable
Half lidded stare with quiet menace
Wide eyed innocence masking sharp intent
Side glance like a blade being drawn
Direct eye contact commanding silent respect
Soft dreamy gaze with hidden calculation
Predatory focus locked on target
Cold stare unbothered and in control
Warm inviting gaze with dangerous undertone
Eyes reflecting lantern light like embers
Sharp squint like she heard a secret
Slow blink confidence without apology
Downcast eyes then sudden upward strike
Catlike stare with elegant cruelty
Gentle gaze with steel behind it
Eyes narrowed slightly assessing the room
Sparkling eyes with jewel like catchlights
Smiling eyes with wicked certainty
Distant gaze like memory and revenge
Eyes shadowed dramatic contrast noir mood
