Neon rim light pink and teal edge glow
Hard flash lighting sharp shadows paparazzi vibe
Soft window light gentle cheek shadow gradients
Disco lighting speckled highlights across face
Warm tungsten glow with vintage lamp ambience
Cool fluorescent spill gritty nightlife realism
Backlit hair light creating glowing halo edges
Split lighting dramatic half face shadow contrast
Butterfly lighting smooth cheekbones classic beauty
Rembrandt lighting triangle cheek highlight cinematic
Gel lighting saturated magenta wash over skin
Gel lighting electric blue wash over shadows
Streetlight sodium vapor warm orange cast
Poolside lighting rippling reflections dancing on skin
TV screen glow flickering blue face illumination
Headlight beams cutting through haze and smoke
Softbox lighting clean editorial magazine polish
Practical neon sign lighting colored facial spill
Low key lighting moody noir highlights only
Lens flare streaks with halation vintage glass
