desert neutrals with dusty rose and warm taupe
twilight blues with slate, indigo, and steel
coastal pastel fade of seafoam, coral, and sand
high-contrast noir with bone white and lamp black
earth oxide set with burnt sienna and raw umber
spring citrus pop of lime, kumquat, and grapefruit
retro miami blend of teal, flamingo, and cream
autumn spice with ochre, clove brown, and burgundy
icy aurora with mint, lavender, and pale cyan
minimal grayscale from charcoal to fog
neon nightscape with magenta, cyan, and electric yellow
forest canopy mix of chlorophyll green and moss
sun-baked terracotta with faded cobalt accents
storm palette of pewter, gunmetal, and slate
wintersun with pale gold over cool greys
heatwave gradient of cadmium red to alizarin crimson
misty harbor with muted navy and salt white
desaturated candy with dusty lilac and blush
acid wash with chartreuse whispers over denim blue
black-metal palette: graphite, soot, and cold silver
