Tokyo apartment hallway flickering fluorescent lights
KTV private room velvet couches and neon spill
Rainy alley with vending machine glow and fog
Abandoned school corridor with buzzing ceiling lights
Bathroom mirror scene with smeared reflections
Elevator interior chrome walls and silent dread
Tatami room lit by TV static blue
Rooftop at night city hum and wind
Convenience store aisle empty at midnight
Underground club corridor red lights and hush
Shrine path at dusk lanterns and mist
Hotel corridor patterned carpet and distant bass
Back room office clutter and hanging photos
Narrow staircase with stained walls and echo
Street crossing neon signs blurred by rain
Karaoke booth door slightly open breathing sound
Parking garage corner headlights and shadow pools
Arcade room glow with silent machines
Subway platform empty with cold air
Curtained room with silhouettes behind fabric
