prompt_piece
"80s Japanese cyberpunk poster art, chrome reflections and acid magenta"
"david Fincher visual tone—high contrast, controlled chaos, grime on precision"
"denis Villeneuve sci-fi minimalism, smoke, silhouettes, sensory overload"
"graphic-novel noir lighting, cinematic backdrops soaked in despair"
"gregory Crewdson-style cinematic despair, every frame a crime scene"
"in the style of Hayao Miyazaki, whimsical yet haunting landscapes"
"in the style of Karan Singh's neon-drenched cyberpunk art, vibrant colors and dynamic compositions"
"in the style of Katsuhiro Otomo's Akira, chaotic urban sprawl and vibrant decay"
"industrial surrealism, brutalist geometry, thin neon veins across concrete"
"influenced by Masamune Shirow's Ghost in the Shell, cybernetic enhancement and existential themes"
"influenced by the visual language of Jean-Pierre Jeunet, intricate details and surreal storytelling"
"influenced by the visual style of Shinkai Makoto, breathtaking landscapes and emotional depth"
"inspired by Ridley Scott's Blade Runner cinematography, wet neon realism"
"inspired by the works of Denis Villeneuve, sci-fi minimalism, smoke, silhouettes, sensory overload"
"inspired by the works of H.R. Giger, biomechanical surrealism and dark eroticism"
"inspired by the works of Katsuhiro Otomo, intricate details and surreal storytelling"
"inspired by the works of Satoshi Kon, blending reality and dreams"
"matte-painted skyline haze, ruined city glow, Tarkovsky-like melancholy"
moebius line weight and emptiness filtered through dystopian sorrow
"oil-painted sci-fi realism, dirty color blending and soft bleed highlights"
pascal Blanché palette muted by industrial gray and sickly green light
"photoreal still life in a dying city, reflections warped by pollution"
pulp illustration grit mixed with modern lens bloom and chromatic aberration
"retro VHS horror aesthetic, flickering distortion, low dynamic range"
"syd Mead's optimistic futurism turned rotten, designs collapsing under rust"
