delicate champagne coupe glass
crystal martini glass stem
elegant cigarette holder ivory
ornate folding hand fan
beaded small clutch purse
lustrous string of pearls
cut crystal cocktail glass
long white opera gloves
ostrich feathered fan accessory
vintage wide-brimmed hat
graduated pearl necklace strand
intricate beaded evening handbag
soft silk evening gloves
sparkling jeweled brooch pin
diamond encrusted tiara crown
dangling emerald drop earrings
antique gold pocket watch
engraved silver cigarette case
carved ivory hair comb
crystal champagne flute glass
luxurious velvet evening bag
elegant pearl drop earrings
diamond tennis bracelet sparkle
vintage jade signet ring
smooth satin evening gloves
decorative beaded headband accessory
elaborate ostrich feather fascinator
jeweled ornamental hair clip
mother-of-pearl powder compact
polished silver hip flask
crystal cut perfume bottle
gold mesh evening purse
tight pearl choker necklace
diamond studded hair pin
flowing silk evening wrap
