prompt_piece
acid-green underglow mixing with violet reflections
"camera flare from siren lights, rain creating prismatic halos"
chromatic aberration fringing around bright lights
"data moshing effect, colors bleeding into each other"
"digital rain cascading down the screen, pixelated edges"
"digital static overlay, corrupted feed, faint scanline drift"
dust motes drifting through beam of emergency light
faint electrical arcs crawling along metallic surfaces
flickering sign light casting stuttered shadows across wet pavement
glitching holograms flickering in and out of existence
"harsh interrogation light, overexposed edges, face in silhouette"
"high-contrast spotlight cutting through steam, edges haloed in haze"
"holographic glitches warping the environment, reality bending"
"holographic static flickering over the image, like a broken projection"
infrared haze and lens flares washing across frame
lens distortion creating a fisheye effect
"light diffusion through fog, soft glow around neon signs"
"light leaking through cracked glass, red bloom flaring like a wound"
"neon light trails following movement, long exposure effect"
"neon reflections rippling in oily water, distorted and alive"
"rain droplets on lens, distorting neon reflections"
"rain streaking across lens, neon reflections breaking through smoke"
"shutter flicker effect, one frame missing every heartbeat"
sodium streetlight glow bleeding into cool blue shadows
"sparks raining from overhead cable, slow-motion capture"
"static distortion across the frame, momentary loss of detail"
