prompt_piece
"standing in abandoned asylum corridor, shadows writhing on walls"
"in cemetery at midnight, fog creeping between tombstones"
"at basement entrance, flickering bulb casting eerie shadows"
"in haunted house doorway, floorboards creaking ominously"
"beside old well, dark water reflecting no light"
"in attic filled with covered furniture, dust motes dancing"
"at forest edge where no birds sing, trees twisted and gnarled"
"in medical examination room, instruments gleaming menacingly"
"beside broken mirror, multiple reflections showing different horrors"
"in subway tunnel, distant screaming echoing from darkness"
"at abandoned carnival, rides still and silent"
"in old church, stained glass windows depicting torment"
"beside hospital bed, life support machines beeping erratically"
"in school hallway, lockers hanging open like gaping mouths"
"at cliff edge, storm clouds gathering with unnatural speed"
