prompt_piece
"arms outstretched under acid rain, eyes closed, blood washing from hands"
"backlit by explosion, hair whipping forward, calm amid chaos"
"crouched behind abandoned vehicle, heart pounding, breath held"
"crouched in shadows, watching as figures pass, heart racing"
"crouched near shattered mirror, reflection split across a dozen shards"
"huddled beneath flickering sign, rain-soaked and shivering"
"kneeling at water's edge, neon skyline dissolving into reflection"
"kneeling beside wrecked android, cigarette glowing in the dark"
"leaning against crumbling wall, eyes scanning the street for threats"
"leaning against rusted doorway, pistol hanging loose, rain dripping off chin"
"lying on rain-slick roof, plasma scar glowing faintly under ribs"
"one knee on the ground, weapon dropped, expression unreadable"
"perched on ledge, overlooking neon-lit streets, expression contemplative"
"reaching toward broken camera lens, glass reflecting her eye"
"sitting cross-legged on cracked highway, neon sign flickering behind"
"sitting on cracked marble statue, one hand bandaged, city burning behind"
"slumped in neon alley corner, cigarette ember the only light"
"standing atop crumbling overpass, cityscape ablaze behind, wind tugging at coat"
"standing in flooded street ankle-deep, neon light cutting through the mist"
"standing over fallen figure, smoke curling from gun barrel"
"walking through empty market, flickering signs dying as she passes"
