prompt_piece
"abandoned shopping mall, escalators frozen mid-descent, graffiti covering the walls"
"abandoned subway entrance, flickering lights casting long shadows"
"abandoned subway station, walls covered in bioluminescent moss"
"bridge checkpoint guarded by half-awake drones, graffiti glowing like prayer marks"
"burned-out nightclub still pulsing faint bass, mannequins melted to bar stools"
"chemical plant ruins, puddles glowing toxic green under drones' searchlights"
"collapsed subway tunnel glowing with red emergency strobes, static humming in the dark"
"crumbling highway overpass, vines creeping through the concrete"
"cyber-slum alley slick with rain and blood, flicker of a vending-machine shrine"
"data-farm catacombs beneath the city, coolant mist and whispering servers"
"derelict corporate tower, shattered glass hallways, elevator music looping"
"derelict spaceport terminal, flickering holo-ads and abandoned luggage carts"
"dilapidated high-rise rooftop, wind whipping through broken antennas"
"fog-shrouded industrial docks, rusting cranes silhouetted against dim city lights"
"forgotten industrial complex, conveyor belts frozen in time, dust motes in stray light beams"
"hollowed freeway interchange turned refugee camp, floodlights shaking on cables"
"industrial wasteland outside city walls, wind turbines toppled and burning"
"junkyard cathedral of broken satellites, lightning crawling along their frames"
"neon-bathed street corner, rain slick pavement reflecting flickering signs"
"neon-lit back-alley bazaar, stalls overflowing with hacked cyberware and black-market tech"
"overgrown park reclaiming a corporate plaza, rusting sculptures half-buried in foliage"
"rooftop market built from scavenged drones, smoke curling from oil drums"
"train graveyard at dawn, magnetic dust rising in cold fog"
"underground fight club lit by faulty holograms, crowd chanting over feedback"
"warehouse district blackout, only a single crimson hologram pulsing alive"
