prompt_piece
"armored gloves with exposed fingertips, smudged with oil and dirt"
"asymmetrical leather jacket, collar wired with blue neon filament, knife sheathed at ribs"
"biohazard rain poncho transparent and slick, smeared with crimson fingerprints"
"black synth-leather bodysuit, high collar, zippers frayed, faint blood spray on sleeve"
"black vinyl coat unbuttoned to waist, chains looping from belt, rainwater streaked with oil"
"carbon-fiber exosuit frame with missing plates, power lines trailing sparks"
"chrome-lined trenchcoat, scorched hem, glowing circuitry under seams"
"combat boots, scuffed and worn, steel toes glinting"
"dark cargo pants, multiple pockets, knee pads scratched and dented"
"fingerless gloves, reinforced knuckles, frayed edges"
"high-tech wrist gauntlet, cracked screen, blinking red light"
"industrial latex catsuit patched with duct tape, old serial number across thigh"
"mesh crop top under cracked ballistic vest, acid stains and ash smudges"
"neon harness wrapped across chest and arms, skin painted with industrial grease"
"oversized bomber jacket, reflective logo faded, bullet holes stitched shut"
"ragged synthsilk skirt torn at knee, gunmetal garters, glowing cuffs at wrists"
"sleek visor with HUD display, cracked on one side, faint blood splatter"
"stealth suit with adaptive camohing, seams worn thin, dirt smudges"
"street samurai bodysuit, matte finish with scorched panels, dried blood at throat seam"
"tactical harness over torn undershirt, carbon fiber plates, exposed skin streaked with grime"
"tattered hooded cloak, edges singed, pockets filled with scavenged tech"
"torn nylon bodystocking beneath armored corset, blood dried along laces"
"urban scavenger rags layered over combat leggings, wires braided through belt"
"utility belt loaded with pouches, tools, and a sidearm"
