champagne coupe held lightly between fingers, clear liquid surface, clean reflections
crystal martini glass with visible condensation, stem held delicately
cigarette holder with thin cigarette, faint smoke trail rising
folding hand fan partially opened, rigid ribs, patterned fabric
small clutch purse with metallic finish, clasp detail visible
string of pearls loosely wrapped around wrist, smooth spherical highlights
cocktail straw stirring ice in a short glass, visible cube edges
gloved hand adjusting a necklace, precise fingertip positioning
one hand resting on a bar counter, fingers relaxed, polished surface reflection
seated pose with legs crossed at the knee, heel lifted slightly
standing pose with one hip shifted, natural weight distribution
hand placed on staircase railing, brass texture, partial grip alignment
