prompt_piece
"leaning against rusted doorway, pistol hanging loose, rain dripping off chin"
"kneeling beside wrecked android, cigarette glowing in the dark"
"standing in flooded street ankle-deep, neon light cutting through the mist"
"sitting on cracked marble statue, one hand bandaged, city burning behind"
"walking through empty market, flickering signs dying as she passes"
"lying on rain-slick roof, plasma scar glowing faintly under ribs"
"crouched near shattered mirror, reflection split across a dozen shards"
"arms outstretched under acid rain, eyes closed, blood washing from hands"
"one knee on the ground, weapon dropped, expression unreadable"
"backlit by explosion, hair whipping forward, calm amid chaos"
"slumped in neon alley corner, cigarette ember the only light"
"reaching toward broken camera lens, glass reflecting her eye"
"sitting cross-legged on cracked highway, neon sign flickering behind"
"kneeling at water's edge, neon skyline dissolving into reflection"
"standing over fallen figure, smoke curling from gun barrel"
