thin data cable wrapped twice around wrist
small navigation module clipped to belt loop
cracked visor dangling from one gloved hand
fingerless gloves with exposed knuckle armor plates
utility belt holding tools and signal beacons
holo-id badge flickering at jacket lapel
micro-drone resting inactive on shoulder pad
control gauntlet with dimmed interface lights
necklace pendant made from shattered hull fragment
ear cuffs shaped like tiny antenna arrays
boot soles dusted with fine obsidian planet grit
jumpsuit knees stained from emergency hull repairs
hidden blade sheath stitched inside boot lining
breathing mask hanging loose from collar ring
shoulder strap with neatly rolled emergency blanket
small journal strapped to thigh in weathered case
glowstrip wrapped around upper arm as beacon
tangled comms earpiece wire trailing from pocket
patched tear across sleeve from past skirmish
tiny constellation tattoo visible at collarbone edge
wrist display blinking with low power warning
holstered sidearm with scorched barrel detailing
cargo pocket bulging with scavenged machine parts
black bandage wrap around recently injured forearm
magnetic clasp badges clustered along chest strap
ion-burn scoring visible across back of coat
