beaded flapper dress with layered fringe, metallic threadwork, knee-length hem
sleek satin gown with low back, bias cut, subtle shimmer highlights
gold sequin sheath dress with fitted silhouette, geometric deco patterns
pearlescent slip dress with thin straps, soft drape, mid-thigh length
velvet evening gown with structured shoulders, deep V neckline
art deco patterned cocktail dress with embroidered panels, defined waistline
feather-trimmed dress with soft plume accents along hem and neckline
silk gown with cascading ruffles, high-slit skirt, fluid motion
tulle overlay dress with subtle sparkle, layered texture, elegant volume
backless gown with crisscross straps, smooth satin finish
lace evening dress with sheer panels, fine floral detailing
two-tone deco dress with contrasting metallic accents, sculpted fit
